transaction_pk,tag_id,user_id,car_model_id,car_name,txn_id,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dsoc_dt_mean,dsoc_dt_max,start_ts,end_ts,connector,seq_len
22258,0CCC478CED55,1374,40,BYD Dolphin GLX,22258,44.9,62.556895833333336,1.3932493504083148,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.0277777777777777,0.0333333333333333,2025-05-07 11:19:00,2025-05-07 12:27:00,363012,61
22274,0CCC478B9622,1080,40,BYD Dolphin GLX,22274,44.9,49.6008175154321,1.1046952676042785,1.05,0.0,95.0,95.0,20.0,80.0,60.0,0.1056693989071038,0.5,2025-05-07 14:28:00,2025-05-07 15:17:00,628886,61
22282,0CCC478C6895,1713,45,BYD M6 Performance,22282,55.4,53.80813350210576,0.9712659476914398,0.9712659476914398,0.0,94.0,94.0,20.0,80.0,60.0,0.0848087434147563,0.4666666815016009,2025-05-07 17:16:00,2025-05-07 18:06:00,628886,61
22298,0399122532-tag,653,41,BYD Atto 3 Dynamic,22298,49.92,68.15821875,1.3653489332932691,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.0299453551912568,0.05,2025-05-08 01:28:00,2025-05-08 02:29:00,351899,61
22319,evc1596,1596,45,BYD M6 Performance,22319,55.4,30.249159434022985,0.5460137081953608,0.7,0.0,83.0,83.0,20.0,80.0,60.0,0.4671117318759561,0.8666667630937471,2025-05-08 05:26:00,2025-05-08 05:48:00,352681,61
22363,evc-1344,1344,42,BYD Atto 3 Premium,22363,60.48,66.19412500000001,1.0944795800264553,1.05,11.0,100.0,89.0,20.0,80.0,60.0,0.0249908925318761,0.05,2025-05-08 13:09:00,2025-05-08 14:19:00,351898,61
22368,0CCC478B9622,1080,40,BYD Dolphin GLX,22368,44.9,39.45454513704882,0.8787203816714659,0.8787203816714659,0.0,93.0,93.0,20.0,80.0,60.0,0.2537743040970999,0.6833333727055149,2025-05-08 13:50:00,2025-05-08 14:29:00,628886,61
22383,0399122532-tag,653,41,BYD Atto 3 Dynamic,22383,49.92,62.405184027777786,1.250103846710292,1.05,16.0,100.0,84.0,20.0,80.0,60.0,0.0349453551912568,0.05,2025-05-08 15:53:00,2025-05-08 16:50:00,351899,61
22388,0CCC478CEE68,1571,45,BYD M6 Performance,22388,55.4,58.20335273290801,1.0506020348900362,1.05,0.0,100.0,100.0,20.0,80.0,60.0,0.0385919061369542,0.3666666637526618,2025-05-08 23:18:00,2025-05-09 00:18:00,628886,61
22405,0CCC478B55B8,1729,45,BYD M6 Performance,22405,55.4,62.53120138888889,1.1287220467308463,1.05,10.0,100.0,90.0,20.0,80.0,60.0,0.0263205828779599,0.0333333333333333,2025-05-09 01:36:00,2025-05-09 02:40:00,363013,61
